INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
5.783,5.0,4.0,4.1,8.3,5.6,8.174000000000001,7.278,Fase 8 (Universitários),-1,22,7.0
7.055,10.0,6.8,5.2,8.8,6.3,7.893999999999997,6.778,Fase 7 (3º EM),0,22,7.0
6.591,10.0,5.6,7.9,0.0,5.6,8.197999999999999,7.556,Fase 7 (3º EM),0,22,7.0
5.951,10.0,5.0,4.5,8.8,5.6,5.553999999999997,5.278,Fase 7 (3º EM),0,22,7.0
7.427,10.0,5.2,8.6,7.9,5.6,8.392,7.389,Fase 7 (3º EM),0,22,7.0
5.848,5.0,3.3,4.5,7.9,7.5,8.035999999999994,7.222,Fase 8 (Universitários),-1,22,7.0
6.818,5.0,7.6,8.4,0.0,7.5,8.345999999999991,7.667,Fase 8 (Universitários),-1,22,7.0
4.786,5.0,1.6,4.6,7.1,6.3,4.5039999999999925,6.278,Fase 8 (Universitários),-1,22,7.0
8.109,5.0,6.7,9.5,8.8,7.5,8.389999999999995,9.5,Fase 8 (Universitários),-1,22,7.0
5.784,5.0,4.1,5.2,8.3,5.0,6.827999999999994,7.056,Fase 8 (Universitários),-1,22,7.0
5.323,5.0,3.0,4.2,9.2,5.0,6.852,6.389,Fase 8 (Universitários),-1,22,7.0
4.832,10.0,1.5,4.0,0.0,6.9,7.641999999999998,6.389,Fase 7 (3º EM),0,22,7.0
6.902,5.0,4.7,7.4,7.9,7.5,8.308,8.056,Fase 8 (Universitários),-1,22,7.0
6.793,5.0,4.0,8.3,7.9,7.5,7.430000000000003,7.75,Fase 8 (Universitários),-1,22,7.0
7.783,5.0,7.3,10.0,8.8,7.5,7.346000000000004,7.292,Fase 8 (Universitários),-1,22,7.0
6.112,5.0,3.5,8.3,7.9,5.0,6.9539999999999935,6.333,Fase 8 (Universitários),-1,22,7.0
8.068,5.0,7.8,10.0,8.8,7.5,7.195999999999989,8.292,Fase 8 (Universitários),-1,22,7.0
7.226,5.0,9.0,8.7,6.3,6.3,5.510000000000002,6.875,Fase 8 (Universitários),-1,22,7.0
7.665,5.0,8.0,9.5,7.9,7.5,7.2499999999999964,7.0,Fase 8 (Universitários),-1,22,7.0
7.535,5.0,7.8,10.0,7.1,6.3,7.016,7.167,Fase 8 (Universitários),-1,22,7.0
6.945,5.0,3.8,9.2,9.6,7.5,6.850000000000005,7.25,Fase 8 (Universitários),-1,22,7.0
7.474,5.0,6.7,7.4,8.3,8.1,7.4739999999999895,8.833,Fase 7 (3º EM),-1,22,6.0
7.677,5.0,6.7,8.2,8.3,8.1,8.457999999999988,8.556,Fase 7 (3º EM),-1,22,6.0
8.087,5.0,8.6,7.9,9.2,6.9,8.547999999999991,9.111,Fase 7 (3º EM),-1,22,6.0
7.979,5.0,6.9,8.3,8.3,8.8,7.956000000000003,9.667,Fase 7 (3º EM),-1,22,6.0
8.677,5.0,8.0,8.8,9.6,10.0,8.569999999999993,10.0,Fase 7 (3º EM),-1,22,6.0
7.124,5.0,8.0,7.6,0.0,8.1,8.717999999999995,9.111,Fase 7 (3º EM),-1,22,6.0
6.242,5.0,5.0,6.1,7.9,7.5,7.153999999999998,6.333,Fase 7 (3º EM),-1,22,6.0
4.985,5.0,3.7,4.0,0.0,8.8,5.428000000000006,7.611,Fase 7 (3º EM),-1,22,6.0
7.605,10.0,7.5,6.4,8.8,7.5,7.284000000000006,7.333,Fase 6 (2º EM),0,22,6.0
8.843,5.0,8.0,9.5,10.0,9.4,9.029999999999996,10.0,Fase 7 (3º EM),-1,22,6.0
7.37,10.0,6.1,5.2,8.8,8.8,7.612000000000005,7.944,Fase 6 (2º EM),0,22,6.0
4.952,5.0,4.8,4.6,0.0,7.5,6.219999999999999,6.0,Fase 7 (3º EM),-1,22,6.0
6.259,5.0,3.8,4.8,9.6,8.1,8.134000000000006,7.278,Fase 7 (3º EM),-1,22,6.0
8.965,5.0,8.5,9.6,10.0,9.4,9.049999999999994,10.0,Fase 7 (3º EM),-1,22,6.0
7.876,5.0,6.8,9.0,9.2,6.9,8.171999999999997,8.944,Fase 7 (3º EM),-1,22,6.0
4.95,5.0,5.9,5.4,0.0,5.0,6.4559999999999995,5.222,Fase 7 (3º EM),-1,22,6.0
8.523,5.0,8.6,8.9,9.2,7.5,8.864,9.833,Fase 7 (3º EM),-1,22,6.0
6.033,10.0,6.9,4.8,0.0,6.9,7.808000000000002,6.111,Fase 6 (2º EM),0,22,6.0
7.203,5.0,6.8,7.8,7.9,7.5,6.930000000000005,7.75,Fase 6 (2º EM),-1,22,5.0
5.581,5.0,5.6,6.1,9.2,5.0,4.460000000000006,4.375,Fase 7 (3º EM),-2,22,5.0
6.72,10.0,4.8,7.9,8.3,5.6,5.7340000000000035,6.083,Fase 5 (1º EM),0,22,5.0
5.486,5.0,4.3,6.5,6.3,5.6,4.443999999999999,5.958,Fase 6 (2º EM),-1,22,5.0
5.542,5.0,3.0,5.9,5.0,7.5,5.535999999999994,7.292,Fase 7 (3º EM),-2,22,5.0
