NOME,ANO,Pedra_Conceito,INDE,Prob_Risco_Critico,IAN,IDA,IEG,IPS,consistencia_acad
Aluno-1338,24,Ágata,6.1368428571,0.9999570796642833,5.0,3.0,8.6607142855,7.51,0.3424378312354449
Aluno-387,24,Ágata,6.125500000000001,0.9999507215642829,5.0,4.333333333333333,7.166666666666667,7.51,0.5963302752293578
Aluno-956,24,Ágata,6.1175906455,0.999950579703989,5.0,3.25,6.017786561,6.885,0.5312378860547828
Aluno-965,24,Ágata,6.1376545455,0.9999502189174823,5.0,2.25,6.4772727275,7.51,0.3420870766986148
Aluno-1095,24,Ágata,6.108547514666667,0.9999492816580968,10.0,2.333333333333333,7.84502924,7.51,0.29368467539250154
Aluno-249,24,Ágata,6.125104328999999,0.9999406329123406,5.0,5.0,6.645021645,5.0,0.7412874655052349
Aluno-1111,24,Ágata,6.116032815733334,0.9999383143390695,10.0,5.0,4.600414078666667,7.5,1.0637360701247656
Aluno-1347,24,Ágata,6.153842857100001,0.9999147359597819,5.0,5.0,8.7857142855,2.51,0.5627009646437952
Aluno-306,24,Ágata,6.1661539474,0.9998921633618344,5.0,2.833333333333333,7.699561403666666,7.51,0.3632682899324761
Aluno-1591,24,Ágata,6.1707952862,0.9998840407660304,5.0,3.5,6.430976431,7.51,0.5359076145776401
Aluno-559,24,Ágata,6.158158974333333,0.9998782364514914,10.0,3.1666666666666665,5.705128205,8.13,0.5454946996586902
Aluno-851,24,Ágata,6.2114602109,0.9997801658556581,5.0,6.0,7.3221343875,5.63,0.8083928000690623
Aluno-1384,24,Ágata,6.221984461100001,0.9997706708031368,5.0,5.0,7.5689223055,7.51,0.6519820909404831
Aluno-712,24,Ágata,6.2236373706000006,0.9996938988467652,5.0,6.75,5.983436853,5.625,1.1095701596164822
Aluno-1181,24,Ágata,6.2015816738666665,0.9996654230787719,10.0,3.8333333333333335,5.036075036,6.26,0.7463546203014106
Aluno-331,24,Ágata,6.231045707066668,0.999643510719402,5.0,3.5,7.735353535333334,8.755,0.446693309270199
Aluno-716,24,Ágata,6.2372943675000005,0.9996181131752911,5.0,5.75,5.5335968375,7.51,1.0206623167858166
Aluno-955,24,Ágata,6.245452381,0.9995834882771351,5.0,5.75,6.904761905,7.51,0.8208701563283185
Aluno-514,24,Ágata,6.219580952400001,0.9994985198020993,10.0,3.0,7.595238095,4.385,0.3898514851605771
Aluno-1517,24,Ágata,6.240744444466667,0.9994885003541325,5.0,4.666666666666667,4.305555555666667,9.38,1.0592686002254914
Aluno-303,24,Ágata,6.2443426900666665,0.9992273752379709,5.0,5.666666666666667,3.9520467836666655,7.51,1.398470197705601
Aluno-1160,24,Ágata,6.274190982333334,0.9991009919371577,5.0,3.1666666666666665,8.201288245,7.51,0.381466896848691
Aluno-571,24,Ágata,6.2964554348,0.999028985864313,5.0,5.25,8.695652174,4.375,0.596885813142888
Aluno-1070,24,Ágata,6.287171861500001,0.9989414567557603,5.0,2.25,9.3073593075,5.635,0.23917445124118855
Aluno-360,24,Ágata,6.293175689166667,0.9987091600203718,5.0,5.833333333333333,5.618045113,5.0,1.0201621739694262
Aluno-1014,24,Ágata,6.315972727300001,0.9981314215688606,5.0,5.25,7.8863636365,2.51,0.6573705179170626
Aluno-1577,24,Ágata,6.305585581933334,0.9979288298534195,5.0,4.333333333333333,4.993386243333333,7.51,0.850776502372106
Aluno-1559,24,Ágata,6.330428437666668,0.9972121630828132,5.0,4.666666666666667,5.2929755216666665,6.885,0.8653231686140608
Aluno-116,24,Ágata,6.337470707133334,0.9967993935021946,5.0,4.5,7.535353535666666,5.635,0.5893636724192747
Aluno-623,24,Ágata,6.357733333300001,0.9949816316349614,5.0,4.0,7.399999999999999,6.885,0.5333333333333334
Aluno-1493,24,Ágata,6.378661323900001,0.9949669700167484,5.0,4.0,7.8468899525,7.51,0.50334156178187
Aluno-518,24,Ágata,6.3467483709,0.994377565021574,10.0,4.0,6.830075188,2.51,0.5771943148504841
Aluno-643,24,Ágata,6.402239075100001,0.9930713403440122,5.0,4.5,6.8660287085,7.51,0.6459921697579378
Aluno-1009,24,Ágata,6.395389393900001,0.9920289232168524,5.0,7.5,6.8863636365000005,2.51,1.0735198438307054
Aluno-905,24,Ágata,6.3925823529,0.9917572373717448,5.0,3.0,7.7794117645,7.51,0.38073908175686894
Aluno-636,24,Ágata,6.3802279106,0.9916734861697005,10.0,5.25,4.9043062200000005,7.51,1.0490964719581048
Aluno-1055,24,Ágata,6.403040909100001,0.991488922623139,5.0,5.5,5.7954545455,7.51,0.9329221279804709
Aluno-1423,24,Ágata,6.403450000000001,0.9912180117782989,5.0,5.75,5.3125,7.51,1.0623556581986144
Aluno-699,24,Ágata,6.427771212000001,0.9881361857080696,5.0,6.5,7.727272727000001,6.26,0.8304297328976921
Aluno-626,24,Ágata,6.407590225500001,0.9802059211231772,10.0,5.333333333333333,3.380451127666667,6.885,1.5323684021699966
Aluno-1353,24,Ágata,6.454700000000001,0.9797982384293964,5.0,3.0,9.5,7.51,0.3125
Aluno-1611,24,Ágata,6.4589186218000005,0.9778444469385444,5.0,4.5,8.361426442,7.51,0.5318252224782503
Aluno-1311,24,Ágata,6.4118666668,0.9775115001088082,10.0,0.0,9.166666667,2.51,0.0
Aluno-258,24,Ágata,6.429063888866667,0.976875747272072,10.0,2.5,6.944444444333333,7.51,0.3548895899109605
Aluno-951,24,Ágata,6.4483428571,0.9724588125463169,5.0,4.0,9.0357142855,2.51,0.437842064122858
Aluno-1060,24,Ágata,6.448416666600001,0.9704860557161589,10.0,3.25,6.0,6.26,0.5327868852459017
Aluno-1582,24,Ágata,6.472788888966667,0.9611958225792593,5.0,4.5,8.069444444333334,6.255,0.5508330499904908
Aluno-924,24,Ágata,6.4727360962,0.9591915074681374,5.0,7.0,4.598930481,7.51,1.4897006942972053
Aluno-1371,24,Ágata,6.4843521739,0.9518988190473661,5.0,4.5,6.9782608695,7.51,0.6357493857552434
Aluno-1548,24,Ágata,6.482499715066667,0.9470806072103423,10.0,4.833333333333333,5.242165242,7.51,0.9047517466015017
Aluno-707,24,Ágata,6.4975618421000005,0.9454387058189275,5.0,6.5,7.7236842105,4.375,0.8308106289970765
Aluno-538,24,Ágata,6.514094017066666,0.9306190834273445,5.0,6.166666666666667,7.668803418666666,7.51,0.7937730348343699
Aluno-1207,24,Ágata,6.509169736866667,0.9291535269485268,5.0,5.333333333333333,6.581140350999999,7.51,0.7982669204868698
Aluno-1549,24,Ágata,6.514862200466668,0.9266554010583615,5.0,4.166666666666667,7.441394335666668,7.51,0.5525061389457668
Aluno-961,24,Ágata,6.529417908900001,0.9223669464084254,5.0,5.5,8.8923395445,6.26,0.6116317086095769
Aluno-878,24,Ágata,6.5335560606000005,0.8898979405260259,5.0,6.75,6.1363636360000005,4.38,1.0823615160980968
Aluno-549,24,Ágata,6.5398187888,0.8869921555061571,5.0,5.75,7.204968943999999,6.255,0.7871354476767234
Aluno-1513,24,Ágata,6.5509171717,0.8555291343815871,5.0,3.75,7.5252525255,7.51,0.49178699163856304
Aluno-408,24,Ágata,6.5276296297,0.8506367085703578,10.0,4.833333333333333,4.981481481666667,7.51,0.9511661807233539
Aluno-773,24,Ágata,6.566200000000001,0.8442150102822642,5.0,5.0,8.75,2.51,0.5649717514124294
Aluno-390,24,Ágata,6.5472236842,0.8167674378250829,10.0,4.166666666666667,6.080701754333333,8.755,0.6741413568039241
Aluno-752,24,Ágata,6.57279265,0.8115919631046925,5.0,5.75,7.525879916999999,7.51,0.7540113485372105
Aluno-1358,24,Ágata,6.552990476200001,0.8027616536627685,10.0,4.0,7.380952381,5.01,0.5346912794364438
Aluno-1586,24,Ágata,6.555764327466668,0.7949788280208218,5.0,5.666666666666667,6.128654970666666,5.01,0.9097737301798484
Aluno-1130,24,Ágata,6.563952941199999,0.7940732869405543,10.0,4.333333333333333,6.278431372666667,8.13,0.6793728865537159
Aluno-1115,24,Ágata,6.570068686900001,0.7605249648253997,10.0,6.25,4.2676767675,7.51,1.4309666975602264
Aluno-925,24,Ágata,6.587019518800001,0.751614636025484,5.0,4.75,7.005347594,7.51,0.6685105742062589
Aluno-483,24,Ágata,6.578604762,0.7510216253589482,5.0,5.25,5.6428571430000005,6.26,0.9141791044548712
Aluno-152,24,Ágata,6.5837938596,0.74790268475873,5.0,5.166666666666667,7.337719298333333,5.63,0.6946573888348314
Aluno-137,24,Ágata,6.576761183366667,0.7240623404293887,5.0,6.833333333333333,7.582972583,5.005,0.8894126927451685
Aluno-273,24,Ágata,6.5991307798,0.7177306324363177,5.0,4.5,7.323153899,6.26,0.6062113302818916
Aluno-1098,24,Ágata,6.5744562514,0.7097636860051195,10.0,3.5,5.822406257,7.51,0.5909760067309074
Aluno-797,24,Ágata,6.597315151500001,0.6756109425141033,5.0,7.25,4.840909091,7.51,1.467341306320748
Aluno-1307,24,Ágata,6.5940333333000005,0.6720002460193771,10.0,5.5,5.833333333500001,6.255,0.926966292108793
Aluno-1082,24,Ágata,6.6114857142,0.6611259825210553,5.0,3.75,7.5714285715,10.0,0.48882681563790664
Aluno-1444,24,Ágata,6.610588888900001,0.6432450367363453,5.0,6.0,5.277777778,7.51,1.1157024792927397
Aluno-1379,24,Ágata,6.638292105300001,0.6090734951890359,5.0,7.25,8.6842105265,3.755,0.8253445176579467
Aluno-1479,24,Ágata,6.615766239300001,0.5751790455577632,10.0,4.25,6.1965811965,7.51,0.6749694584042517
Aluno-434,24,Ágata,6.610947619100001,0.5637270150557734,10.0,5.5,5.061904762,7.51,1.0654981549618912
Aluno-577,24,Ágata,6.629159109700001,0.5608460314308908,5.0,8.0,5.7660455485,5.625,1.363780750397629
Aluno-472,24,Ágata,6.6397610766,0.539219391365652,5.0,6.25,7.48447205,7.51,0.8240520841526472
Aluno-423,24,Ágata,6.616193704866666,0.5367354422272327,10.0,4.333333333333333,6.501135191,8.13,0.6564527475882341
